,,,,,,,Total,May
Ticker,Date,Price at Time,Status,Close Or Current Price,Percent Change,,-0.01639292557,0.007029287891
ISDR,2/1/2018,17.8,Closed,17.15,-0.03651685393,,,
ISDR,3/1/2018,17.95,Closed,17.15,-0.04456824513,,,
ISNS,4/1/2018,4.25,Closed,4.05,-0.04705882353,,,
ISDR,4/1/2018,16.75,Closed,17.15,0.02388059701,,,
LAWS,4/1/2018,25.45,Closed,23,-0.09626719057,,,
SLP,5/1/2018,16.45,Closed,19.4,0.179331307,,,
ISDR,5/1/2018,16,Closed,17.15,0.071875,,0.003667624489,
MARK,5/1/2018,5.91,Closed,4.55,-0.2301184433,,,
