,,,,,,,Total,May
Ticker,Date,Price at Time,Status,Current Price,Percent Change,,-0.0439376475,-0.1049492921
LKM,4/1/2018,1.64,Open,1.12,-0.3170731707,,,
ERIC,4/1/2018,6.28,Open,7.23,0.1512738854,,,
SYNH,4/1/2018,35.25,Open,42.9,0.2170212766,,,
LKM,5/1/2018,1.94,Open,1.12,-0.4226804124,,,
JD,5/1/2018,36.3,Open,35.34,-0.02644628099,,,
X,5/1/2018,33.14,Open,37.59,0.1342788171,,,
